"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 03 04:26:39 UTC 2024","Sun Mar 03 04:26:41 UTC 2024","1725","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Sun Mar 03 02:33:17 UTC 2024","Sun Mar 03 02:33:38 UTC 2024","21598","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sun Mar 03 02:43:32 UTC 2024","Sun Mar 03 02:43:33 UTC 2024","1582","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sun Mar 03 03:40:59 UTC 2024","Sun Mar 03 03:41:03 UTC 2024","4328","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Sun Mar 03 03:56:35 UTC 2024","Sun Mar 03 03:57:55 UTC 2024","79763","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Sun Mar 03 03:02:27 UTC 2024","Sun Mar 03 03:02:32 UTC 2024","4855","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Sun Mar 03 03:43:03 UTC 2024","Sun Mar 03 03:43:04 UTC 2024","905","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Sun Mar 03 04:26:41 UTC 2024","Sun Mar 03 04:26:44 UTC 2024","2964","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sun Mar 03 02:37:16 UTC 2024","Sun Mar 03 02:37:35 UTC 2024","19042","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sun Mar 03 03:29:30 UTC 2024","Sun Mar 03 03:29:33 UTC 2024","3533","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Sun Mar 03 04:26:44 UTC 2024","Sun Mar 03 04:26:51 UTC 2024","7638","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
